"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","Sem"
"187","ELC1001",2020,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Incompleto",8,"DCG"
"188","ELC1001",2022,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",5,"DCG"
"189","ELC1001",2019,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",7,"DCG"
"190","ELC1001",2016,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Repr.Freq",3,"DCG"
"191","ELC1001",2019,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",11,"DCG"
"192","ELC1001",2014,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Repr.Freq",4,"DCG"
"193","ELC1001",2017,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",5,"DCG"
"194","ELC1001",2014,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",2,"DCG"
"195","ELC1008",2019,"2. Semestre","TEORIA DA COMPUTAÇÃO","Repr.Freq",2,"6.0"
"196","ELC1008",2018,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",22,"6.0"
"197","ELC1008",2018,"1. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",2,"6.0"
"198","ELC1008",2018,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",9,"6.0"
"199","ELC1008",2017,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",12,"6.0"
"200","ELC1008",2022,"1. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",3,"6.0"
"201","ELC1008",2015,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",15,"6.0"
"202","ELC1008",2018,"2. Semestre","TEORIA DA COMPUTAÇÃO","Tr.Parcial",1,"6.0"
"203","ELC1008",2021,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",13,"6.0"
"204","ELC1008",2019,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",20,"6.0"
"205","ELC1008",2014,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",17,"6.0"
"206","ELC1008",2020,"2. Semestre","TEORIA DA COMPUTAÇÃO","Tr.Parcial",1,"6.0"
"207","ELC1008",2020,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",3,"6.0"
"208","ELC1008",2019,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",4,"6.0"
"209","ELC1008",2022,"2. Semestre","TEORIA DA COMPUTAÇÃO","Tr.Parcial",1,"6.0"
"210","ELC1008",2018,"1. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",3,"6.0"
"211","ELC1008",2021,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",11,"6.0"
"212","ELC1008",2020,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",21,"6.0"
"213","ELC1008",2014,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",11,"6.0"
"214","ELC1008",2022,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",23,"6.0"
"215","ELC1008",2017,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",8,"6.0"
"216","ELC1008",2022,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",3,"6.0"
"217","ELC1008",2016,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",11,"6.0"
"218","ELC1008",2021,"1. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",1,"6.0"
"219","ELC1008",2015,"2. Semestre","TEORIA DA COMPUTAÇÃO","Tr.Parcial",2,"6.0"
"220","ELC1008",2017,"1. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",3,"6.0"
"221","ELC1008",2015,"2. Semestre","TEORIA DA COMPUTAÇÃO","Reprovado",9,"6.0"
"222","ELC1008",2016,"2. Semestre","TEORIA DA COMPUTAÇÃO","Aprovado",12,"6.0"
"223","ELC1010",2018,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",1,"1.0"
"224","ELC1010",2021,"1. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",29,"1.0"
"225","ELC1010",2019,"1. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",8,"1.0"
"226","ELC1010",2017,"1. Semestre","CIRCUÍTOS DIGITAIS","Tr.Parcial",1,"1.0"
"227","ELC1010",2018,"1. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",27,"1.0"
"228","ELC1010",2016,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",3,"1.0"
"229","ELC1010",2020,"1. Semestre","CIRCUÍTOS DIGITAIS","Incompleto",14,"1.0"
"230","ELC1010",2019,"1. Semestre","CIRCUÍTOS DIGITAIS","Tr.Parcial",1,"1.0"
"231","ELC1010",2019,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",3,"1.0"
"232","ELC1010",2022,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",3,"1.0"
"233","ELC1010",2016,"1. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",11,"1.0"
"234","ELC1010",2020,"1. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",18,"1.0"
"235","ELC1010",2021,"1. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",9,"1.0"
"236","ELC1010",2018,"1. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",7,"1.0"
"237","ELC1010",2014,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",3,"1.0"
"238","ELC1010",2020,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",6,"1.0"
"239","ELC1010",2017,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",4,"1.0"
"240","ELC1010",2017,"1. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",12,"1.0"
"241","ELC1010",2022,"1. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",5,"1.0"
"242","ELC1010",2020,"2. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",4,"1.0"
"243","ELC1010",2014,"1. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",2,"1.0"
"244","ELC1010",2014,"1. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",24,"1.0"
"245","ELC1010",2022,"2. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",4,"1.0"
"246","ELC1010",2016,"2. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",3,"1.0"
"247","ELC1010",2022,"1. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",25,"1.0"
"248","ELC1010",2019,"1. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",5,"1.0"
"249","ELC1010",2015,"2. Semestre","CIRCUÍTOS DIGITAIS","Reprovado",4,"1.0"
"250","ELC1010",2022,"2. Semestre","CIRCUÍTOS DIGITAIS","Aprovado",3,"1.0"
"251","ELC1010",2019,"2. Semestre","CIRCUÍTOS DIGITAIS","Repr.Freq",3,"1.0"
