"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"69","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"Ciência da Computação - Bacharelado","DCG"
"70","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",6,"Ciência da Computação - Bacharelado","DCG"
"71","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"72","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"Ciência da Computação - Bacharelado","DCG"
"73","DCOM1000",2019,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",11,"Ciência da Computação - Bacharelado","DCG"
"74","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"Ciência da Computação - Bacharelado","DCG"
"75","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"76","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",4,"Ciência da Computação - Bacharelado","DCG"
"77","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"78","DCOM1000",2023,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",9,"Ciência da Computação - Bacharelado","DCG"
"79","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"80","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",5,"Ciência da Computação - Bacharelado","DCG"
"81","DCOM1000",2015,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"82","DCOM1001",2023,"2. Semestre","MARATONA DE PROGRAMAÇÃO","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"83","DCOM1001",2022,"2. Semestre","MARATONA DE PROGRAMAÇÃO","Aprovado",10,"Ciência da Computação - Bacharelado","DCG"
"84","DCOM1001",2023,"2. Semestre","MARATONA DE PROGRAMAÇÃO","Aprovado",14,"Ciência da Computação - Bacharelado","DCG"
"85","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"Ciência da Computação - Bacharelado","DCG"
"86","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"87","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"88","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",2,"Ciência da Computação - Bacharelado","DCG"
"89","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",4,"Ciência da Computação - Bacharelado","DCG"
"90","DCOM3105",2021,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",3,"Ciência da Computação - Bacharelado","DCG"
"91","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"92","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Incompleto",5,"Ciência da Computação - Bacharelado","DCG"
"93","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",3,"Ciência da Computação - Bacharelado","DCG"
"94","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"95","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",1,"Ciência da Computação - Bacharelado","DCG"
"96","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",4,"Ciência da Computação - Bacharelado","DCG"
"97","DCOM3105",2023,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",3,"Ciência da Computação - Bacharelado","DCG"
"98","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"99","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"Ciência da Computação - Bacharelado","DCG"
"100","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",2,"Ciência da Computação - Bacharelado","DCG"
"101","DCOM3105",2023,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"102","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"103","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Repr.Freq",2,"Ciência da Computação - Bacharelado","Inativo"
